subject_id,condition,relative_alpha,rsmr,engagement_index,duration_s,n_markers,delta,theta,alpha,smr,beta,low_beta,high_beta,delta_relative,theta_relative,alpha_relative,smr_relative,beta_relative,low_beta_relative,high_beta_relative,epoch_ra_mean,epoch_ra_std,epoch_rsmr_mean,epoch_rsmr_std,epoch_ei_mean,epoch_ei_std,n_epochs
sub-25_07_01_3_3_ses-S001_task-Default_run-001_eeg,Treatment,-0.021094232203680008,0.44716707195980443,0.026366802275502307,1598.1233333333332,2,7.170704742277138e-09,2.936414923691593e-10,5.4019460348204945e-11,2.5262433195186504e-11,9.1667075992115e-12,1.353031563462603e-11,5.894001572650606e-12,0.9469753314574676,0.03877878947190419,0.0071339008098874855,0.003336199426450919,0.0012105708265963773,0.0017868362445997558,0.0007783717630938439,0.26123904937385234,0.4511881289658781,0.42084031594968346,0.10952205243610807,0.03588161747240561,0.024652163213123416,2.0
sub-25_07_01_3_3_ses-S001_task-Default_run-001_eeg_old1,Treatment,0.2500353238108417,0.692913054263485,0.047482341030232286,46.016666666666666,0,1.2389440260163755e-08,8.766540958580187e-10,2.6248892224386275e-10,1.7957278676694408e-10,5.408917726772161e-11,8.857041674135768e-11,2.8228247662494554e-11,0.8926724595329756,0.06316386789687714,0.018912608390630546,0.01293841189451119,0.0038971832376432135,0.006381593525947022,0.0020338755214153576,,,,,,,
sub-25_07_01_3_3_ses-S001_task-Default_run-001_eeg_old2,Treatment,-0.008229064908800154,0.4418411043296917,0.04077122346752955,11.516666666666667,0,1.5548461211705488e-09,9.64794210710615e-11,1.6759738717353522e-11,6.9179987164957225e-12,4.616899089008755e-12,6.064632426783841e-12,3.531099085677441e-12,0.920454343172536,0.05711491377987595,0.00992160837190193,0.004095390455659151,0.002733161025136131,0.003590205603610261,0.002090377591280533,,,,,,,
sub-25_07_01_4_4_ses-S001_task-Default_run-001_eeg,Neutral,-1.5970923818028133,0.41872835718301127,0.03155767191483431,1726.52,7,1.1279218722868286e-08,6.070186534245655e-10,1.3997972224737687e-10,8.0965535684157e-11,2.3573529660369303e-11,4.367100713311342e-11,8.500421555811203e-12,0.925821699026081,0.049825351814007705,0.011489826331456161,0.00664581932946158,0.0019349642753141675,0.003584606967518535,0.0006977322561608908,-1.050634067001931,0.6885715778641286,0.4328240024474272,0.09787697274350303,0.025544294431798516,0.009386475364054394,7.0
sub-25_07_01_5_5_ses-S001_task-Default_run-001_eeg,Treatment,-0.0713640007535119,0.5715995027528922,0.04688216439384582,1328.0333333333333,7,5.648986890049854e-10,5.414118793811616e-11,8.678025793771657e-12,4.350057350777719e-12,2.9451007052705017e-12,3.2454624447286114e-12,2.7198294006769195e-12,0.8813069687608163,0.08446648426622516,0.013538718988015883,0.006786590113180072,0.004594696050417602,0.005063294932457523,0.004243246888887662,0.21302468924547366,0.7916270346829319,0.5647752507324321,0.16998448844152156,0.047047490727591935,0.013061161997818906,7.0
sub-25_07_01_6_6_ses-S001_task-Default_run-001_eeg,Neutral,-0.48837690410348245,0.6515547249314685,0.047736421832105136,2242.55,7,3.4608261855920745e-10,2.5851467792228028e-11,4.565737814129432e-12,2.7863285839120846e-12,1.4520085577789529e-12,1.6913445794504572e-12,1.2725065415253248e-12,0.9019567459890229,0.06737381341481323,0.011899176095625548,0.007261699166702298,0.003784208867162351,0.004407963796558949,0.0033163926701149024,-0.48189802409590954,0.2305782137766434,0.5789824257634608,0.09064329407648736,0.04194309253280259,0.018760008452890064,7.0
sub-25_07_01_8_8_ses-S001_task-Default_run-001_eeg,Neutral,0.9164103854255714,0.49870366201878225,0.036888285637431927,1423.0433333333333,7,5.683680776310706e-09,2.6158662223263736e-10,5.331210116227431e-11,2.6879871424386456e-11,1.161607405545417e-11,1.6254289460800987e-11,8.137412501444058e-12,0.937674104030281,0.043155661143149164,0.00879524706940975,0.004434548727536221,0.0019163799412688816,0.0026815767645378794,0.0013424823238171334,0.3748622997448666,1.1021010225080976,0.5856097038899337,0.05591226347505766,0.045821914281340956,0.013725302213413592,7.0
sub-25_07_02_1_1_ses-S001_task-Default_run-001_eeg,Treatment,1.0743413052583897,0.6341303475079775,0.04842982230913718,1812.53,7,7.908740080963492e-10,3.9860185088234615e-11,6.405055234908616e-12,3.6893663316268104e-12,2.240617367939355e-12,2.5633815358525123e-12,1.9985442420044873e-12,0.9330402743318351,0.04702538918830329,0.0075564178773234346,0.004352561013425478,0.0026433872174999105,0.0030241709639515836,0.002357799407661156,-0.36456233067095617,0.27649986615901306,0.5178475788176163,0.1155219385838709,0.06876884548239436,0.01062297721975545,7.0
sub-25_07_02_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.16103784670659138,0.5690130078519573,0.056338125933088797,1321.5233333333333,7,5.153531356900176e-10,3.656525118702561e-11,6.974065958607839e-12,4.2030634645929015e-12,2.4529235323913895e-12,2.8342888776614425e-12,2.16689952343885e-12,0.9032573332584736,0.06408776621276846,0.012223416883466603,0.007366692144913716,0.004299229043378688,0.004967646524344638,0.003797915932654226,-0.4175467265156786,0.18675233904581975,0.5740852155261124,0.10951556278391048,0.060183106518114364,0.009810625694617462,7.0
sub-25_07_02_3_3_ses-S001_task-Default_run-001_eeg,Treatment,0.22938702300330505,0.7020691274000016,0.03565633858803917,1752.53,7,9.246517566008681e-10,5.1006936633267733e-11,9.685658114969827e-12,5.2226059109167955e-12,2.1640757081298063e-12,3.0740268599508262e-12,1.4816123442640416e-12,0.927167465886935,0.0511457117161312,0.009712009981916007,0.00523681510707499,0.002169963530562229,0.0030823903955868,0.0014856433817938013,-0.641463673882827,0.10676985206177102,0.7152906690697799,0.06392858831021557,0.04011048400643204,0.007009373629189407,7.0
sub-25_07_02_4_4_ses-S001_task-Default_run-001_eeg,Neutral,-0.14834236726708028,0.4984590017691189,0.03841942716586227,1407.53,7,6.047457793495576e-10,4.4848971966636407e-11,9.550581414670791e-12,4.570027896066465e-12,2.0899996789885684e-12,2.8355544416811315e-12,1.5308336069691458e-12,0.902374325438742,0.06692160938856527,0.01425094602707399,0.006819189121724337,0.0031186030806580715,0.004231086208338515,0.002284240734897739,-0.271253443940274,0.17279954966887082,0.5476133576124079,0.057586064940588357,0.03573877891401132,0.006902569486459518,7.0
sub-25_07_02_5_5_ses-S001_task-Default_run-001_eeg,Treatment,0.9383813072273774,0.3874468049365498,0.03321239699808644,1457.54,7,7.546293044841078e-09,9.160895573835805e-10,2.6198401052001483e-10,1.0658012077394442e-10,3.912664703016635e-11,6.257470729438789e-11,2.154060183200018e-11,0.8427668107488622,0.10230849372650568,0.0292582633222931,0.011902822742259052,0.004369647366855492,0.006988316804909534,0.0024056452883149597,0.5025214847757259,1.7302805145519478,0.5311021086686495,0.10872540777012903,0.06046759325578653,0.05231930860574826,7.0
sub-25_07_04_1_1_ses-S001_task-Default_run-001_eeg,Treatment,-0.5816937453209761,0.7208618078263156,0.06965652353868704,1158.5333333333333,0,5.657198132324232e-10,3.135930877141575e-11,7.717017175101633e-12,5.63837275608906e-12,2.7219210180989953e-12,3.3809290408163687e-12,2.2276650010609652e-12,0.9142724435797647,0.05068048031691495,0.012471644062656303,0.009112300324198134,0.004398957438363697,0.00546399504386284,0.00360017923423934,,,,,,,
sub-25_07_04_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.24821712247724292,0.5847922087609528,0.03938426157384817,1857.0466666666666,8,1.1803439862656502e-09,3.272958662268836e-11,5.511096396151585e-12,2.7406215638628392e-12,1.5060810627766063e-12,1.923562603962153e-12,1.1929699068874467e-12,0.9628010962033247,0.02669737148261614,0.004495375681358994,0.0022355122546214652,0.0012285033135129072,0.0015690410636731676,0.0009731000008927123,-0.18467906049894944,0.22731614290585747,0.5800119430319453,0.07602934935348225,0.03473288189049588,0.0032017007263197956,8.0
sub-25_07_05_1_1_ses-S001_task-Default_run-001_eeg,Treatment,0.6481558740455924,0.382913302624024,0.031832453188092684,1611.05,7,1.6774284347640236e-09,1.3429266743504422e-10,1.7259552359359276e-11,8.689349678298618e-12,4.8242789421568826e-12,6.142292416630512e-12,3.835768836301662e-12,0.9055079498520232,0.07249375022450556,0.009317036451981732,0.0046906771398866915,0.0026042380371603183,0.003315726917647701,0.0020706213767947824,0.6919414764409615,1.2011628463388824,0.3627673255145841,0.1378566440277047,0.055409939195203005,0.02691483157186166,7.0
sub-25_07_05_2_2_ses-S001_task-Default_run-001_eeg,Neutral,0.5269727694431161,0.5477929975000007,0.03460549645484453,1327.97,5,4.082248724032406e-09,2.998624405621671e-10,6.998872283602968e-11,3.692121207245667e-11,1.2798883123796424e-11,2.0120446630108967e-11,7.307710494062016e-12,0.9013082520704658,0.0662057876516897,0.015452613916595212,0.008151730912779319,0.0028258295259795552,0.004442337008105498,0.0016134489143850976,-0.5222168970159465,0.08362757587507379,0.4382840056892802,0.043818671393817836,0.042029372166617396,0.019960494187027594,5.0
sub-25_07_05_3_3_ses-S001_task-Default_run-001_eeg,Treatment,-0.2521594932391018,0.5528129789612282,0.07790102487424884,1974.8266666666666,7,7.048504662686564e-10,3.072984102559615e-11,8.307748354579521e-12,4.833705746382408e-12,3.0410682213357776e-12,3.430233075364269e-12,2.749194580814409e-12,0.9299527233181186,0.04054377590209842,0.010960925156057316,0.006377406326143266,0.0040122689982721406,0.0045257182093358,0.003627182089974397,-0.2639197821099251,0.39690307463425895,0.6104841647544487,0.09060652550397702,0.05781607818146254,0.014491692425768678,7.0
sub-25_07_05_4_4_ses-S001_task-Default_run-001_eeg,Neutral,-0.3492513374904114,0.4831289527922294,0.03663535894053189,1336.7933333333333,8,1.0005719100194526e-07,3.101864743523381e-08,6.814610562324848e-09,3.2460864244589474e-09,1.3860349866303101e-09,1.995617730988871e-09,9.288479283613893e-10,0.6879287038467332,0.21326421131275147,0.046852866489818304,0.022317996379781498,0.009529482511859403,0.013720580253207814,0.0063861592058480935,-0.34414969683741115,0.07833377680582831,0.455389171713298,0.07349274515354398,0.02351919557350125,0.015270885432542715,8.0
sub-25_07_05_6_6_ses-S001_task-Default_run-001_eeg,Neutral,-0.4235697696728309,0.4401013572023729,0.04686581869068491,1345.04,7,1.35437412379684e-09,9.463015987516642e-11,1.8524062795518313e-11,8.41764476229145e-12,5.303065283769698e-12,7.427580442565236e-12,3.709678914673046e-12,0.9075224755103356,0.06340862206308066,0.012412377812985584,0.00564039262004333,0.0035534132331381633,0.0049769824096994346,0.002485736350717211,-0.5544066900608193,0.055063140768143996,0.641973527626636,0.06047350291351673,0.045913112018900325,0.008424785287672121,7.0
sub-25_07_05_7_7_ses-S001_task-Default_run-001_eeg,Treatment,-0.33308186335589696,0.5280783732086747,0.04560923738291718,1524.05,6,1.0386836000449342e-09,2.736405154786119e-11,4.4257634659865165e-12,2.16048155050771e-12,1.4499092193256046e-12,1.5830907683933312e-12,1.3500230575248098e-12,0.9644078761344855,0.02540726245659962,0.004109279422839649,0.0020059866387249626,0.001346226965302162,0.0014698847710778095,0.0012534836109704263,-0.4523443809495931,0.133421025513697,0.5851950223549168,0.0639583293251389,0.05246146086627206,0.016646003258245588,6.0
sub-25_07_05_8_8_ses-S001_task-Default_run-001_eeg,Neutral,0.09985489552573057,0.48909792587390494,0.02477922702559526,1453.31,7,2.5789675288942736e-09,1.6438252553233664e-10,2.4557292613545233e-11,1.1269262530744642e-11,4.6817826480114895e-12,6.514382334341344e-12,3.307332883264099e-12,0.9231434630003991,0.0588408547903411,0.00879030227840904,0.004033841419691149,0.0016758477950102513,0.0023318282995252976,0.0011838624166239668,-0.3456656078441246,0.5602339602863711,0.49621541552095033,0.3271246289089927,0.02026250512732807,0.007952330242614625,7.0
sub-25_07_05_9_9_ses-S001_task-Default_run-001_eeg,Treatment,0.11755268292539967,0.7072133934766038,0.06043374412009363,1628.03,7,1.8181655242600357e-08,2.62974513717736e-09,1.1654562174417576e-09,7.279959457702227e-10,2.293582275492845e-10,3.502721311122722e-10,1.3867279987704367e-10,0.7762256919725831,0.11227117177066694,0.04975658413805082,0.031080182151661268,0.009791943940940438,0.014954096517806858,0.005920329508290621,-0.41708195677770477,0.1033886367660391,0.5001218572178245,0.04114812720423971,0.05810732762896204,0.022222085893895478,7.0
sub-25_07_06_1_1_ses-S001_task-Default_run-001_eeg,Treatment,-2.106469812430003,0.385245298171067,0.02217460125989593,2399.9,7,5.8899128404959575e-09,4.7527083079825e-10,9.142581007471825e-11,3.556846247475191e-11,1.2566272046680511e-11,1.930677859443266e-11,7.510892135866398e-12,0.9017617750144781,0.07276526488584628,0.013997541730714694,0.0054456289463643975,0.0019239306409116995,0.0029559206403572376,0.001149938141327546,-1.5217327868967006,1.2402150486961037,0.3111543897448225,0.12328218898420025,0.02963834112946315,0.007957597079662537,7.0
sub-25_07_06_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.791948353489861,0.4203687585673329,0.0216840588537253,1933.25,7,8.93834198850543e-09,6.280682752331915e-10,1.0607133896401603e-10,4.5705161415662447e-11,1.5919126601103435e-11,2.473098175403e-11,9.310235236408513e-12,0.915049895332815,0.06429758564318377,0.010858900648649694,0.004679000112476612,0.001629697671991316,0.0025317986595953528,0.0009531219312882884,-0.35037346538703723,0.13395426769008997,0.5747748586930163,0.1792398087710924,0.08402666033075375,0.040690541342995254,7.0
